date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-12-01,0.319,73.3,40.1,80.9,1027.5,2.0,3.7,8.1,3.4,0.587
2020-12-02,0.064,82.4,15.8,90.0,1018.9,1.0,4.4,8.5,1.4,0.617
2020-12-03,5.106,81.6,17.3,91.8,989.4,1.0,2.9,5.8,1.5,0.1369999999999999
2020-12-04,1.617,69.4,32.0,84.5,979.5,2.0,2.2,5.6,2.7,0.983
2020-12-05,5.09,73.8,16.5,92.9,988.5,1.0,2.3,5.1,1.4,0.462
2020-12-06,0.109,63.0,42.6,90.6,1002.4,3.0,0.8,6.3,3.7,0.641
2020-12-07,0.126,77.8,20.3,95.2,998.9,1.0,0.1,3.2,1.6,0.631
2020-12-08,0.212,61.5,30.4,91.6,1004.2,1.0,0.1,6.5,2.6,0.525
2020-12-09,0.618,65.6,15.2,88.8,1005.6,1.0,2.3,7.5,1.2,0.479
2020-12-10,9.38,88.7,24.4,95.9,995.6,2.0,7.1,9.5,2.2,0.26
2020-12-11,6.486,72.0,35.5,95.9,986.8,2.0,7.3,9.4,3.2,0.63
2020-12-12,2.226,56.3,33.8,88.0,1001.8,2.0,2.7,7.8,2.9,0.882
2020-12-13,7.884,81.8,17.6,94.8,998.9,1.0,2.7,11.5,1.5,0.127
2020-12-14,6.161,60.9,18.8,86.9,997.1,1.0,7.6,10.5,1.7,0.653
2020-12-15,0.608,36.5,35.2,88.7,1003.2,2.0,6.4,9.5,3.0,0.5569999999999999
2020-12-16,14.679,72.9,8.7,92.9,1003.7,0.0,5.4,9.4,0.8,0.218
2020-12-17,0.553,64.0,32.8,93.2,1012.5,2.0,5.3,10.5,2.8,0.72
2020-12-18,9.094,94.1,12.4,96.9,1006.2,1.0,10.6,11.8,1.2,0.162
2020-12-19,12.324,52.1,32.3,87.6,1002.5,2.0,6.9,10.6,2.8,0.66
2020-12-20,1.005,44.6,36.7,85.5,1011.6,2.0,5.6,8.5,3.3,0.77
2020-12-21,6.397,91.8,13.7,97.1,1004.9,1.0,7.5,12.6,1.1,0.172
2020-12-22,3.307,85.4,12.9,96.2,1010.1,1.0,8.6,12.1,1.1,0.106
2020-12-23,15.271,87.2,19.4,96.8,1002.3,1.0,4.8,11.0,1.7,0.59
2020-12-24,5.04,53.3,43.8,77.1,1024.6,3.0,0.9,6.1,4.0,0.796
2020-12-25,0.0,58.9,,82.4,1033.1,2.0,-0.4,4.2,2.7,0.593
2020-12-26,2.082,84.3,18.1,93.8,1017.0,1.0,2.6,9.2,1.7,0.474
2020-12-27,16.927,55.5,37.4,88.5,978.1,3.0,1.8,9.2,3.2,0.475
2020-12-28,6.375,62.8,11.3,93.1,975.1,1.0,0.9,3.0,0.9,0.508
2020-12-29,1.816,68.3,24.9,90.0,991.8,2.0,1.9,4.2,2.0,0.717
2020-12-30,0.99,75.6,15.9,90.8,1003.6,1.0,0.2,3.3,1.4,0.497
2020-12-31,0.199,40.8,,92.6,1006.5,2.0,-1.8,3.3,3.3,0.834
