date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-02-01,0.64,68.7,52.6,82.6,1006.6,3.0,5.7,9.8,4.5,1.492
2020-02-02,7.356,82.9,25.1,88.7,1008.1,1.0,6.2,11.1,2.3,0.657
2020-02-03,1.294,69.8,32.2,86.1,1015.0,2.0,4.3,9.7,2.8,0.513
2020-02-04,2.18,67.5,31.6,76.3,1026.3,1.0,4.5,7.5,2.7,1.74
2020-02-05,0.024,60.8,60.8,85.4,1036.9,4.0,2.0,8.5,5.1,1.373
2020-02-06,0.014,66.2,81.2,87.2,1030.1,4.0,2.7,7.8,6.9,1.903
2020-02-07,0.119,74.8,34.1,92.0,1016.1,2.0,3.8,9.8,3.1,0.929
2020-02-08,2.487,68.9,75.9,81.5,1013.6,4.0,4.6,9.6,6.7,1.879
2020-02-09,7.869,85.6,18.5,88.7,994.6,1.0,8.4,11.7,1.6,0.304
2020-02-10,3.586,65.9,49.0,76.8,1000.8,2.0,3.7,7.9,4.2,0.754
2020-02-11,1.708,46.5,68.3,72.8,1011.2,4.0,2.5,6.3,5.8,1.183
2020-02-12,3.022,64.9,74.5,84.6,1014.7,4.0,2.4,7.2,6.5,1.593
2020-02-13,25.899,75.3,53.7,87.8,998.8,3.0,4.8,8.4,4.8,0.904
2020-02-14,2.235,80.3,36.5,92.8,1015.5,2.0,3.9,10.1,3.2,0.696
2020-02-15,18.182,92.6,15.0,96.2,1003.2,1.0,9.5,11.9,1.2,0.202
2020-02-16,15.312,73.2,22.7,87.8,995.8,1.0,4.1,11.8,2.0,0.6819999999999999
2020-02-17,6.3,53.4,63.9,80.7,1011.0,3.0,4.2,8.4,5.7,1.369
2020-02-18,3.796,59.2,63.1,85.5,1019.9,4.0,3.8,8.1,5.4,0.931
2020-02-19,2.556,73.8,31.2,87.6,1019.6,1.0,3.7,8.9,2.6,0.729
2020-02-20,4.087,61.4,52.7,85.4,1013.2,3.0,3.3,9.0,4.4,1.099
2020-02-21,0.172,70.6,47.4,81.1,1023.3,2.0,3.4,9.4,4.0,1.254
2020-02-22,2.187,83.2,56.8,84.1,1020.2,3.0,8.2,10.7,4.8,1.013
2020-02-23,1.664,86.2,52.0,87.8,1018.8,2.0,6.1,11.6,4.5,1.438
2020-02-24,8.241,84.5,24.0,92.1,1011.3,1.0,6.3,10.4,2.0,0.394
2020-02-25,6.215,55.9,53.8,85.3,1002.9,3.0,2.4,6.7,4.7,1.289
2020-02-26,1.221,49.4,115.5,76.8,1006.8,5.0,1.4,6.7,9.9,2.511
2020-02-27,9.659,61.3,125.3,81.3,1005.0,5.0,1.1,7.0,10.9,2.376
2020-02-28,9.321,93.8,28.1,93.0,1003.1,1.0,1.1,11.0,2.4,0.408
2020-02-29,15.317,62.2,100.6,83.5,986.2,4.0,3.8,10.0,8.8,1.764
