date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-07-01,2.351,75.8,143.5,85.2,1006.3,4.0,12.3,16.5,12.7,4.982
2020-07-02,0.558,67.6,150.3,82.1,1012.6,4.0,11.7,17.3,13.1,5.856000000000001
2020-07-03,2.794,75.2,144.2,85.7,1016.5,4.0,10.8,17.0,12.5,4.517
2020-07-04,1.732,95.3,148.7,93.0,1011.6,2.0,14.6,17.5,12.9,4.449
2020-07-05,1.207,75.0,254.9,76.3,1013.3,10.0,11.9,16.1,22.2,6.4190000000000005
2020-07-06,0.095,51.9,222.5,73.6,1021.5,6.0,11.5,17.1,19.4,6.636
2020-07-07,0.0,75.8,168.8,81.1,1021.2,6.0,9.8,17.3,14.5,5.449
2020-07-08,3.273,90.8,120.9,92.0,1015.6,5.0,14.1,18.0,10.3,3.956
2020-07-09,1.753,87.2,128.8,91.4,1012.7,5.0,13.9,17.9,11.2,3.632
2020-07-10,0.0,53.0,201.0,73.4,1019.8,7.0,10.6,16.6,17.3,6.697
2020-07-11,0.0,28.7,296.8,69.6,1027.2,9.0,7.7,19.7,25.5,6.87
2020-07-12,0.0,60.7,308.8,66.2,1028.1,9.0,8.5,21.5,26.8,5.589
2020-07-13,1.426,71.8,173.6,75.3,1024.3,7.0,10.9,19.9,15.1,3.523
2020-07-14,2.09,85.3,177.4,84.1,1018.1,6.0,12.9,17.9,15.4,3.811
2020-07-15,0.055,87.5,113.3,83.9,1017.6,3.0,12.7,17.0,9.6,4.979
2020-07-16,0.0,68.6,209.4,81.5,1021.4,8.0,13.8,21.1,18.1,6.117
2020-07-17,0.0,76.5,236.0,81.8,1022.4,7.0,12.4,21.0,20.3,6.503
2020-07-18,0.087,82.7,199.2,80.7,1019.4,7.0,12.5,20.4,17.3,5.3500000000000005
2020-07-19,4.251,70.1,196.9,78.8,1018.4,7.0,12.4,19.3,16.9,5.563
2020-07-20,0.0,16.2,297.8,61.7,1023.9,8.0,8.5,19.0,25.7,6.732
2020-07-21,0.0,35.6,285.5,61.0,1026.1,8.0,8.6,20.3,24.6,6.38
2020-07-22,0.0,42.8,259.8,64.6,1024.1,7.0,9.6,21.3,22.5,6.081
2020-07-23,0.97,78.5,142.1,85.2,1017.3,6.0,11.0,19.7,12.2,3.148
2020-07-24,2.92,87.9,145.1,90.2,1013.3,4.0,14.8,19.5,12.6,5.083
2020-07-25,9.659,79.0,104.4,93.7,1007.6,4.0,14.1,17.5,9.0,2.974
2020-07-26,0.485,71.1,157.0,84.7,1011.1,6.0,13.2,17.9,13.6,4.87
2020-07-27,8.234,75.6,125.2,91.4,1007.0,5.0,12.8,19.5,10.8,4.14
2020-07-28,0.0,52.4,220.2,75.1,1016.0,9.0,11.1,17.5,18.8,6.327
2020-07-29,0.0,48.8,199.0,78.0,1020.7,6.0,8.9,18.9,17.2,6.0280000000000005
2020-07-30,0.0,24.4,281.7,71.9,1017.3,8.0,11.5,22.8,24.5,6.191
2020-07-31,0.0,33.0,215.3,67.7,1011.0,7.0,15.7,26.4,18.7,5.747
