date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-06-01,0.0,11.4,306.4,54.3,1022.0,8.0,10.5,23.3,26.5,6.793
2020-06-02,0.0,26.2,297.7,57.1,1019.2,8.0,11.5,23.6,25.6,6.5760000000000005
2020-06-03,6.684,89.1,68.4,81.8,1009.5,2.0,11.4,15.7,5.8,2.18
2020-06-04,0.366,69.7,198.0,77.0,1005.9,6.0,8.3,15.3,17.1,4.1370000000000005
2020-06-05,1.229,64.8,211.4,73.1,1000.0,8.0,8.0,15.1,18.0,6.664
2020-06-06,2.407,65.1,125.0,84.5,1002.7,5.0,6.2,10.7,10.8,3.783
2020-06-07,0.297,51.8,272.7,77.4,1009.7,8.0,7.1,17.5,23.5,5.506
2020-06-08,0.216,67.9,258.8,72.3,1018.5,8.0,9.8,17.4,22.6,5.365
2020-06-09,0.0,53.5,218.1,71.9,1020.0,7.0,7.8,17.0,18.9,5.155
2020-06-10,1.613,86.0,101.6,85.2,1014.7,5.0,10.1,14.2,8.8,3.482
2020-06-11,21.854,78.0,74.3,87.1,1009.3,2.0,10.0,16.1,6.2,4.207
2020-06-12,10.676,69.8,98.9,87.5,1004.0,4.0,11.3,17.8,8.2,3.094
2020-06-13,2.523,60.6,157.3,86.4,1006.3,7.0,9.3,17.5,13.6,5.299
2020-06-14,2.493,58.6,263.8,83.7,1012.8,8.0,11.1,18.7,22.7,6.354
2020-06-15,0.289,54.0,243.0,80.6,1016.2,9.0,9.8,19.7,21.0,6.138
2020-06-16,3.355,61.6,220.9,80.0,1014.0,10.0,11.3,19.2,19.3,4.92
2020-06-17,0.644,60.4,141.3,88.1,1012.6,7.0,10.6,18.4,12.2,3.96
2020-06-18,25.455,86.0,54.3,97.1,1010.0,2.0,13.0,14.8,4.5,1.794
2020-06-19,21.567,79.3,147.0,87.7,1013.7,5.0,11.5,15.9,12.7,4.979
2020-06-20,0.504,73.3,208.3,86.5,1018.0,7.0,12.1,17.0,18.1,5.77
2020-06-21,4.296,64.8,211.6,79.0,1016.9,6.0,11.7,17.3,18.2,6.227
2020-06-22,0.0,41.0,298.3,79.2,1024.1,8.0,8.8,18.6,25.8,6.58
2020-06-23,0.51,27.3,301.9,73.0,1022.4,8.0,11.8,22.8,26.1,6.737
2020-06-24,0.0,14.5,302.0,63.0,1018.8,8.0,14.1,27.6,26.2,6.684
2020-06-25,0.032,24.4,297.4,61.5,1014.0,8.0,16.6,27.9,25.7,6.094
2020-06-26,0.08,64.4,214.8,79.0,1009.0,7.0,14.0,19.6,18.4,6.105
2020-06-27,5.752,78.7,157.7,88.0,1004.1,5.0,11.6,15.9,13.6,6.265
2020-06-28,2.694,68.3,231.2,79.5,1010.3,9.0,10.6,15.8,20.1,6.430000000000001
2020-06-29,0.367,82.2,129.8,73.1,1011.5,3.0,11.1,15.3,11.3,4.31
2020-06-30,2.903,83.4,108.7,90.8,1007.3,3.0,11.5,17.1,9.2,2.794
