date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-03-01,4.417,52.1,112.9,83.3,989.1,4.0,2.2,6.5,9.8,2.249
2020-03-02,3.587,39.0,107.9,82.5,991.7,4.0,2.1,7.6,9.3,2.353
2020-03-03,0.204,40.4,105.0,80.9,1004.1,5.0,1.9,8.7,9.1,2.798
2020-03-04,3.555,92.2,29.8,93.8,1005.3,1.0,2.8,8.0,2.5,0.826
2020-03-05,9.335,89.8,28.2,91.3,996.6,1.0,2.3,5.1,2.6,1.222
2020-03-06,1.546,59.7,82.6,88.2,1006.6,4.0,0.2,7.2,7.1,2.399
2020-03-07,0.037,85.2,59.9,88.3,1014.9,2.0,3.6,11.1,5.1,1.832
2020-03-08,3.705,59.6,100.8,84.3,1006.4,4.0,5.5,9.3,8.7,1.72
2020-03-09,6.691,73.7,69.8,86.9,1012.6,3.0,5.2,10.4,6.0,1.045
2020-03-10,8.888,96.4,57.9,95.3,1007.4,3.0,8.6,12.8,5.0,1.358
2020-03-11,0.536,78.1,136.0,85.4,1009.4,6.0,7.2,12.2,11.9,2.6670000000000003
2020-03-12,2.606,41.7,123.2,74.3,1012.1,5.0,3.5,7.7,10.7,2.468
2020-03-13,1.195,60.5,89.7,81.9,1018.1,4.0,4.8,9.1,7.8,3.108
2020-03-14,5.792,82.2,77.6,91.9,1012.6,4.0,6.0,9.5,6.7,2.057
2020-03-15,8.604,79.0,43.6,90.5,1008.1,2.0,4.1,8.9,3.6,1.633
2020-03-16,0.024,21.4,160.6,78.3,1022.2,6.0,1.2,10.1,13.9,3.861
2020-03-17,0.073,89.8,85.4,89.5,1027.0,4.0,4.9,10.8,7.4,2.001
2020-03-18,0.681,92.5,52.0,92.8,1024.7,2.0,7.2,11.6,4.6,1.235
2020-03-19,2.363,98.0,27.1,96.3,1025.4,1.0,4.5,7.2,2.4,0.32
2020-03-20,0.144,83.6,127.0,76.0,1027.0,5.0,3.8,8.8,11.0,2.388
2020-03-21,0.0,68.2,145.4,66.2,1023.8,6.0,2.8,10.4,12.7,3.856
2020-03-22,0.0,24.1,183.3,69.2,1024.5,6.0,1.2,10.9,16.0,4.249
2020-03-23,0.0,14.6,178.9,69.8,1024.5,6.0,2.1,10.7,15.5,4.293
2020-03-24,0.0,16.5,183.3,75.2,1023.9,6.0,3.4,13.2,15.8,4.166
2020-03-25,0.0,6.3,193.0,68.6,1023.1,6.0,2.3,13.1,16.7,4.521
2020-03-26,0.0,10.8,195.6,56.8,1022.7,6.0,-0.6,13.4,16.8,4.566
2020-03-27,0.0,28.7,178.1,66.4,1024.2,6.0,0.7,10.9,15.4,4.397
2020-03-28,0.0,53.1,137.3,68.2,1029.0,6.0,2.6,10.2,11.7,3.821
2020-03-29,0.0,46.9,133.6,57.8,1038.6,5.0,1.6,7.8,11.0,4.396
2020-03-30,0.0,65.5,81.8,69.4,1036.0,4.0,0.4,8.1,7.2,4.023
2020-03-31,0.073,55.3,134.2,71.0,1031.3,5.0,3.2,9.5,11.5,4.477
