date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-04-01,0.0,53.0,97.4,81.3,1022.4,4.0,6.4,12.7,8.4,3.425
2021-04-02,0.0,26.2,160.8,75.6,1029.3,5.0,3.1,10.6,13.8,4.749
2021-04-03,0.0,46.1,117.7,74.8,1032.4,5.0,2.1,9.3,10.0,4.837
2021-04-04,0.0,40.5,,77.6,1027.5,6.0,-0.3,12.9,14.9,4.982
2021-04-05,0.024,61.3,86.4,64.5,1020.7,4.0,1.1,7.4,7.4,4.614
2021-04-06,0.446,48.1,,68.3,1023.4,7.0,-1.1,6.0,16.8,3.615
2021-04-07,0.174,76.9,,72.9,1025.4,3.0,-1.2,6.0,8.6,3.832
2021-04-08,0.189,86.0,116.6,78.5,1022.5,5.0,2.2,8.8,10.0,3.085
2021-04-09,0.158,76.3,116.9,79.2,1014.2,5.0,2.9,9.9,10.2,3.7
2021-04-10,0.146,74.3,165.5,76.1,1013.4,6.0,2.6,8.5,14.2,3.403
2021-04-11,0.725,48.7,196.0,73.8,1020.5,8.0,0.1,8.0,16.9,3.232
2021-04-12,0.716,61.5,164.0,77.8,1029.1,8.0,0.3,9.1,14.1,2.996
2021-04-13,0.128,54.8,,81.5,1032.8,5.0,-0.2,9.5,11.2,4.353
2021-04-14,0.006,51.9,179.1,76.3,1032.3,6.0,1.7,11.7,15.6,3.831
2021-04-15,0.0,40.3,,66.0,1032.9,8.0,-0.3,9.7,18.5,5.383
2021-04-16,0.0,42.0,,68.9,1031.1,8.0,-0.7,9.3,15.3,5.115
2021-04-17,0.0,20.2,234.0,63.2,1029.1,7.0,-0.3,11.7,20.4,5.591
2021-04-18,0.0,39.2,222.8,63.9,1025.2,8.0,1.5,13.1,19.3,4.99
2021-04-19,0.024,50.2,234.9,65.8,1021.2,7.0,1.7,12.9,20.2,5.206
2021-04-20,0.0,57.2,251.0,65.7,1017.9,7.0,2.0,15.0,21.6,4.711
2021-04-21,0.0,64.0,177.4,69.3,1019.6,7.0,6.0,15.2,15.3,4.709
2021-04-22,0.0,20.5,254.0,67.6,1025.3,7.0,1.9,13.3,22.0,5.912
2021-04-23,0.0,24.3,255.5,53.4,1025.9,8.0,2.9,15.5,22.0,5.798
2021-04-24,0.0,42.3,255.4,55.2,1025.1,7.0,5.3,16.5,21.8,5.944
2021-04-25,0.0,53.0,260.0,59.6,1026.0,8.0,3.5,14.2,22.4,5.763
2021-04-26,0.0,35.7,250.5,67.4,1021.1,7.0,1.6,12.1,21.5,6.034
2021-04-27,0.095,68.6,121.3,71.2,1010.6,6.0,2.5,13.9,10.4,4.664
2021-04-28,2.184,85.3,77.3,87.9,1006.3,3.0,4.7,9.1,6.7,2.174
2021-04-29,0.797,65.9,224.8,68.8,1012.4,7.0,1.8,10.3,19.4,5.045
2021-04-30,2.03,70.3,158.4,80.1,1015.3,5.0,1.4,8.7,13.5,3.407
