date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-08-01,1.904,79.9,171.4,84.9,1011.9,8.0,12.9,18.8,14.7,3.989
2021-08-02,4.599,72.1,160.8,82.8,1014.3,6.0,11.5,18.0,13.8,3.657
2021-08-03,0.13,66.0,182.8,80.9,1013.2,7.0,9.6,17.6,15.7,5.484
2021-08-04,0.024,72.8,178.5,76.8,1012.7,7.0,11.3,20.7,15.1,5.58
2021-08-05,3.334,84.6,100.4,93.2,1002.8,5.0,12.9,16.8,8.8,3.102
2021-08-06,5.119,66.0,196.9,86.2,998.7,5.0,13.2,17.5,16.8,5.384
2021-08-07,4.376,70.2,129.0,89.7,997.9,5.0,11.8,16.4,10.9,3.693
2021-08-08,6.214,67.5,161.5,83.9,1006.4,5.0,12.5,17.5,14.0,4.797
2021-08-09,9.972,67.6,127.0,89.4,1011.6,4.0,12.9,16.8,10.9,4.149
2021-08-10,0.451,59.8,207.1,84.5,1016.1,6.0,11.9,19.6,17.7,5.409
2021-08-11,0.182,73.9,145.1,90.0,1018.0,6.0,11.5,18.6,12.6,4.479
2021-08-12,0.576,72.8,139.9,89.7,1018.0,7.0,12.7,18.9,12.1,4.773
2021-08-13,0.192,70.9,143.6,84.8,1021.2,5.0,12.9,19.6,12.5,4.71
2021-08-14,0.401,68.6,220.6,86.8,1019.9,8.0,14.6,20.8,19.1,4.434
2021-08-15,0.766,77.9,107.2,88.6,1013.9,4.0,14.4,17.5,9.2,4.31
2021-08-16,0.389,73.1,102.9,81.0,1019.5,3.0,12.4,15.9,8.8,4.774
2021-08-17,0.009,85.6,174.2,83.6,1022.1,8.0,13.1,17.7,15.1,4.749
2021-08-18,0.152,94.5,95.4,88.1,1019.1,3.0,12.9,16.3,8.2,5.306
2021-08-19,5.371,85.1,126.3,87.9,1014.8,5.0,12.0,19.3,11.1,4.225
2021-08-20,0.265,86.3,99.8,90.8,1015.7,3.0,14.8,19.2,8.5,3.926
2021-08-21,6.772,76.1,90.5,91.7,1014.6,5.0,14.5,19.7,8.1,3.472
2021-08-22,0.702,59.7,191.4,83.8,1020.7,7.0,12.8,18.8,16.6,5.102
2021-08-23,0.024,65.4,83.4,87.5,1028.0,3.0,12.3,18.4,7.4,4.659
2021-08-24,0.0,36.3,221.4,77.6,1029.1,7.0,11.0,20.5,19.1,5.292
2021-08-25,0.0,45.7,208.0,80.5,1025.8,7.0,11.7,19.1,18.0,5.269
2021-08-26,0.0,53.7,177.6,80.9,1022.7,7.0,11.4,20.8,15.4,4.518
2021-08-27,0.0,59.1,121.1,78.7,1024.2,5.0,8.7,16.3,10.5,5.074
2021-08-28,0.0,61.7,138.0,81.5,1026.7,5.0,8.3,18.6,12.0,5.129
2021-08-29,0.0,54.7,159.5,79.8,1025.9,5.0,10.4,18.4,13.9,4.938
2021-08-30,0.0,94.1,82.3,79.7,1026.5,3.0,12.7,16.9,7.1,4.329
2021-08-31,0.024,90.8,96.5,81.3,1029.5,4.0,12.8,16.3,8.4,3.994
