date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-05-01,0.257,63.3,195.6,80.4,1017.0,7.0,1.2,10.1,16.9,3.715
2021-05-02,0.119,58.8,195.9,75.8,1021.1,7.0,1.1,11.5,16.6,5.244
2021-05-03,2.411,71.7,97.1,84.9,1012.3,3.0,4.8,10.1,8.3,2.516
2021-05-04,2.215,60.8,211.5,68.5,1004.0,7.0,4.6,10.6,18.4,5.711
2021-05-05,1.532,49.6,180.1,74.8,1010.6,6.0,3.6,9.5,15.6,3.908
2021-05-06,0.19,54.6,213.1,68.0,1007.9,8.0,1.5,11.8,18.4,4.906
2021-05-07,0.476,49.7,215.2,67.8,1015.8,7.0,1.0,11.9,18.5,4.826
2021-05-08,3.484,93.3,58.6,94.7,1002.5,2.0,6.8,12.6,5.1,3.628
2021-05-09,8.002,83.3,202.1,88.4,995.5,8.0,9.6,14.1,17.4,4.525
2021-05-10,1.129,59.7,223.4,83.7,998.1,8.0,7.7,12.8,19.6,5.2010000000000005
2021-05-11,3.577,56.5,189.8,85.2,1005.1,9.0,6.3,11.7,16.3,5.424
2021-05-12,7.498,72.9,160.0,85.4,1007.8,7.0,6.7,12.1,13.8,3.822
2021-05-13,36.276,88.1,46.4,93.9,1005.8,2.0,7.1,11.0,4.3,2.168
2021-05-14,2.546,83.6,132.2,87.4,1009.1,7.0,8.4,12.6,11.3,3.687
2021-05-15,6.179,72.9,136.3,90.2,1000.4,5.0,7.3,12.3,11.7,3.98
2021-05-16,11.193,69.7,139.8,92.1,997.3,5.0,7.6,11.6,12.0,1.995
2021-05-17,3.164,63.8,169.0,84.9,1006.8,6.0,7.7,14.4,14.7,4.515
2021-05-18,7.321,66.6,140.3,89.0,1013.8,4.0,7.3,12.4,12.1,4.245
2021-05-19,2.844,53.0,291.3,78.5,1019.3,8.0,7.4,14.0,25.3,6.376
2021-05-20,2.188,84.1,124.3,88.3,1010.9,4.0,7.7,12.0,10.7,2.386
2021-05-21,6.138,77.9,120.5,88.3,997.9,4.0,8.6,10.0,10.3,2.385
2021-05-22,4.413,61.6,157.3,79.2,1005.0,5.0,5.4,11.4,13.7,5.904
2021-05-23,11.851,73.6,105.9,89.0,1006.4,4.0,4.7,10.0,9.1,2.44
2021-05-24,4.119,51.5,181.9,85.4,1003.4,9.0,6.1,10.4,15.5,3.393
2021-05-25,5.295,64.5,139.1,87.5,1015.7,6.0,6.0,11.5,11.9,4.053
2021-05-26,0.213,52.5,274.8,79.3,1016.4,8.0,5.1,15.1,23.7,6.383
2021-05-27,0.095,45.9,272.8,73.2,1020.3,8.0,4.6,16.7,23.5,6.651
2021-05-28,0.403,92.9,191.2,74.2,1022.4,7.0,9.2,17.5,16.7,3.974
2021-05-29,0.0,74.2,301.7,67.9,1025.6,8.0,10.8,19.6,26.1,6.28
2021-05-30,0.0,49.7,236.0,67.7,1026.4,9.0,9.0,18.6,20.3,6.52
2021-05-31,0.0,18.4,268.5,67.5,1020.1,8.0,8.5,20.9,23.2,6.856
