date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-11-01,3.529,36.4,49.6,84.1,995.5,3.0,5.1,10.1,4.3,1.102
2021-11-02,1.726,36.8,60.3,87.4,999.4,4.0,3.6,10.8,5.1,1.31
2021-11-03,0.275,58.3,49.7,90.2,1006.1,3.0,2.8,9.6,4.4,1.406
2021-11-04,0.191,36.9,59.6,78.5,1017.7,3.0,3.0,9.5,5.2,1.944
2021-11-05,0.006,69.6,45.5,86.4,1027.5,4.0,2.0,11.1,4.0,1.109
2021-11-06,0.204,83.1,33.0,90.7,1026.3,1.0,8.5,11.8,2.8,0.925
2021-11-07,1.736,46.2,59.8,81.4,1024.0,3.0,5.7,11.2,5.1,1.443
2021-11-08,0.108,86.3,29.4,93.4,1024.1,2.0,5.3,12.6,2.4,0.791
2021-11-09,0.033,85.4,26.8,91.8,1023.2,1.0,9.6,13.3,2.4,1.379
2021-11-10,1.206,91.7,27.4,96.9,1022.7,1.0,11.0,12.9,2.4,0.882
2021-11-11,0.372,75.9,23.9,93.0,1021.8,1.0,8.4,12.0,2.0,1.242
2021-11-12,1.818,74.8,34.8,92.3,1011.9,2.0,9.2,12.4,3.2,0.89
2021-11-13,0.396,83.2,28.4,87.5,1018.0,1.0,9.8,12.7,2.4,1.539
2021-11-14,0.0,78.0,36.3,89.1,1025.0,2.0,7.3,11.7,3.1,1.462
2021-11-15,0.12,91.8,37.5,96.4,1027.1,2.0,6.4,10.5,3.3,0.855
2021-11-16,0.174,79.7,27.9,95.4,1022.9,1.0,7.9,11.9,2.5,0.461
2021-11-17,0.201,67.9,48.0,84.0,1025.7,3.0,7.4,11.3,4.1,1.208
2021-11-18,0.3,92.0,26.0,91.2,1030.3,1.0,8.5,12.5,2.1,0.6729999999999999
2021-11-19,0.401,96.3,19.9,95.0,1031.2,1.0,9.0,10.8,1.7,0.774
2021-11-20,0.787,89.6,15.3,95.3,1024.9,1.0,7.7,9.7,1.3,0.713
2021-11-21,0.477,43.7,38.5,80.4,1021.6,2.0,3.2,8.3,3.4,1.377
2021-11-22,0.0,40.3,42.7,85.4,1031.0,3.0,1.7,7.3,3.7,1.2
2021-11-23,0.095,73.2,17.3,92.8,1032.9,1.0,0.7,7.0,1.4,0.762
2021-11-24,0.0,94.6,10.6,91.2,1022.4,1.0,4.9,7.3,1.0,0.728
2021-11-25,0.219,43.8,42.2,80.4,1018.5,3.0,2.0,6.9,3.7,1.335
2021-11-26,3.213,61.4,30.3,85.4,1000.3,2.0,2.6,8.6,2.6,0.627
2021-11-27,1.366,66.3,20.3,64.2,1000.8,2.0,1.8,5.1,1.8,0.939
2021-11-28,0.02,55.9,41.8,71.8,1009.5,3.0,0.9,6.3,3.6,0.761
2021-11-29,0.302,79.2,,87.1,1016.1,2.0,-1.0,6.0,2.5,0.782
2021-11-30,0.425,90.0,25.6,93.4,1012.7,2.0,6.8,10.7,2.3,0.484
