date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-10-01,2.246,59.1,130.2,79.5,1010.8,6.0,8.3,14.8,11.3,3.357
2021-10-02,19.483,75.4,20.3,91.4,997.3,1.0,8.5,13.6,1.5,0.965
2021-10-03,2.825,50.1,125.9,85.0,997.9,5.0,8.3,13.3,10.8,2.391
2021-10-04,3.75,57.8,84.3,89.1,1006.3,3.0,8.7,13.5,7.2,1.888
2021-10-05,14.224,52.1,94.2,84.8,1005.2,5.0,9.2,13.1,8.1,2.674
2021-10-06,0.252,69.3,113.4,80.7,1020.7,5.0,9.4,15.6,9.9,2.481
2021-10-07,0.024,86.1,75.3,92.8,1025.2,4.0,13.4,18.0,6.4,2.608
2021-10-08,0.0,97.1,34.0,92.7,1028.8,1.0,13.7,16.0,2.8,2.576
2021-10-09,0.0,61.7,91.6,86.6,1028.3,5.0,9.7,16.1,7.7,2.631
2021-10-10,0.0,54.1,121.6,83.8,1030.5,5.0,9.4,17.0,10.4,2.803
2021-10-11,0.0,31.0,113.0,84.7,1032.0,4.0,5.3,14.7,9.7,2.649
2021-10-12,0.171,55.3,90.3,89.3,1027.7,4.0,6.4,15.1,7.9,2.777
2021-10-13,0.031,72.1,69.7,88.4,1028.3,4.0,9.2,16.5,6.1,2.551
2021-10-14,0.177,54.9,109.6,89.7,1024.9,5.0,7.5,16.4,9.4,2.462
2021-10-15,0.0,83.1,60.3,89.2,1020.4,3.0,11.3,15.0,5.3,2.11
2021-10-16,0.0,62.8,87.1,91.7,1019.6,5.0,10.2,16.1,7.4,1.948
2021-10-17,0.095,74.2,92.2,89.8,1016.2,5.0,10.2,16.5,7.9,2.623
2021-10-18,7.654,84.3,19.4,97.9,1014.2,1.0,10.2,15.9,1.8,0.835
2021-10-19,4.696,94.1,23.3,96.9,1010.8,1.0,15.2,16.3,1.9,1.268
2021-10-20,21.377,66.6,97.3,90.0,998.5,5.0,8.9,15.2,8.3,2.088
2021-10-21,25.233,32.1,113.3,77.5,1010.5,5.0,6.2,11.5,9.9,2.609
2021-10-22,0.024,82.0,34.8,80.8,1023.0,2.0,6.2,11.1,3.0,1.972
2021-10-23,0.0,96.7,32.9,76.0,1023.9,2.0,8.8,12.4,2.9,1.132
2021-10-24,1.048,77.8,40.5,86.1,1016.1,3.0,10.5,14.3,3.5,1.304
2021-10-25,0.731,51.9,78.9,88.8,1015.1,4.0,9.5,14.4,6.9,1.982
2021-10-26,1.318,81.4,48.8,93.5,1018.1,2.0,9.2,15.0,4.2,1.822
2021-10-27,0.256,91.9,28.3,89.1,1017.0,1.0,13.6,14.5,2.6,1.596
2021-10-28,13.08,90.6,15.8,90.9,1005.8,1.0,13.1,14.5,1.3,1.322
2021-10-29,19.079,59.4,60.8,86.7,995.8,3.0,10.3,13.6,5.3,1.863
2021-10-30,13.583,47.5,65.1,85.6,995.4,4.0,7.9,12.2,5.6,1.733
2021-10-31,11.721,53.4,50.1,81.8,991.0,3.0,8.4,12.3,4.3,1.837
