date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-09-01,0.0,96.9,76.7,78.3,1030.8,2.0,12.7,16.0,6.4,4.649
2021-09-02,0.0,97.4,91.4,79.0,1027.5,3.0,12.9,16.6,7.9,3.807
2021-09-03,0.0,65.4,139.7,77.0,1021.4,5.0,11.6,19.8,12.0,4.605
2021-09-04,0.0,41.4,203.8,81.6,1017.9,7.0,11.6,20.5,17.5,4.594
2021-09-05,0.0,65.2,142.4,88.2,1019.7,6.0,12.4,22.6,12.4,3.231
2021-09-06,0.024,38.4,186.3,81.1,1022.6,7.0,13.8,25.5,15.9,3.977
2021-09-07,0.0,12.6,201.1,66.5,1019.1,6.0,15.8,26.6,17.3,4.413
2021-09-08,0.315,67.7,87.0,75.5,1011.3,3.0,16.6,21.7,7.6,2.205
2021-09-09,10.065,85.4,90.3,96.5,1007.3,4.0,15.8,18.3,7.8,3.024
2021-09-10,1.196,85.0,79.7,94.3,1010.8,3.0,15.6,18.0,6.9,3.522
2021-09-11,0.337,72.7,138.1,82.9,1017.5,5.0,12.6,17.9,11.7,3.819
2021-09-12,0.12,64.6,149.2,82.3,1019.0,6.0,9.3,18.9,12.9,3.415
2021-09-13,0.006,83.1,83.6,85.7,1016.2,3.0,13.6,18.8,7.4,2.22
2021-09-14,2.676,84.3,64.2,92.2,1012.1,3.0,13.4,17.7,5.5,3.005
2021-09-15,0.095,42.4,154.1,88.2,1015.2,5.0,11.1,19.4,13.4,4.173
2021-09-16,0.024,65.4,143.5,86.5,1017.9,6.0,11.6,20.2,12.4,4.117
2021-09-17,0.0,62.0,123.0,87.4,1013.6,6.0,11.1,18.5,10.7,3.26
2021-09-18,2.195,78.9,111.9,87.8,1013.0,5.0,13.7,20.3,9.6,3.758
2021-09-19,0.594,53.5,128.1,83.0,1015.8,5.0,11.1,17.5,11.0,3.36
2021-09-20,0.024,27.9,181.4,80.2,1024.5,6.0,8.4,19.0,15.7,4.079
2021-09-21,0.177,63.6,162.5,81.7,1030.8,6.0,8.6,19.9,14.0,3.839
2021-09-22,0.024,60.3,122.4,84.4,1028.6,4.0,8.9,18.3,10.6,3.871
2021-09-23,0.104,80.1,91.7,88.7,1022.1,4.0,12.6,17.5,7.8,3.1
2021-09-24,0.024,78.8,130.5,91.4,1017.5,5.0,10.3,19.5,11.1,3.427
2021-09-25,0.2,90.8,44.6,95.5,1013.8,2.0,13.7,18.2,4.1,2.845
2021-09-26,0.146,69.0,115.5,90.3,1010.8,6.0,11.4,18.1,9.9,3.482
2021-09-27,10.858,49.8,144.2,82.2,1010.0,5.0,9.9,16.3,12.3,2.741
2021-09-28,23.823,68.5,30.0,91.0,1014.1,2.0,10.0,14.3,2.5,1.848
2021-09-29,3.34,30.6,147.0,76.3,1021.7,6.0,7.8,13.7,12.7,3.525
2021-09-30,3.66,92.3,77.1,89.2,1019.7,3.0,8.6,14.9,6.7,1.434
