date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2022-01-01,0.856,78.6,24.5,91.8,1015.5,2.0,11.3,13.0,2.1,0.383
2022-01-02,4.385,73.1,16.0,91.4,1010.8,1.0,8.0,11.4,1.4,0.452
2022-01-03,0.346,62.5,19.7,88.9,1008.4,1.0,7.3,9.6,1.6,0.329
2022-01-04,2.284,53.2,27.8,86.0,1003.7,2.0,1.9,7.2,2.4,0.742
2022-01-05,0.015,42.9,30.2,78.6,1016.7,3.0,0.7,5.5,2.6,1.056
2022-01-06,1.849,74.8,14.2,85.5,1015.7,1.0,0.6,7.3,1.2,0.264
2022-01-07,9.588,60.7,13.6,90.1,1012.5,1.0,2.0,4.8,1.2,0.322
2022-01-08,7.702,69.7,11.2,90.8,1003.0,1.0,3.5,9.7,1.1,0.154
2022-01-09,2.586,60.5,24.4,86.2,1004.6,1.0,4.0,7.2,2.0,0.8190000000000001
2022-01-10,1.506,92.0,17.3,98.3,1017.3,1.0,5.6,9.7,1.5,0.329
2022-01-11,1.528,82.7,18.3,98.5,1029.8,1.0,4.9,10.5,1.6,0.205
2022-01-12,0.176,53.7,31.7,89.0,1041.1,3.0,0.6,7.0,2.7,1.162
2022-01-13,0.068,21.5,,90.0,1041.2,3.0,-0.1,8.7,2.6,1.191
2022-01-14,0.236,8.5,19.4,85.1,1035.1,1.0,0.9,8.9,1.7,1.168
2022-01-15,0.0,84.6,16.5,89.5,1025.5,1.0,1.9,6.8,1.3,0.895
2022-01-16,1.573,75.9,29.7,93.2,1028.0,2.0,3.5,8.7,2.6,0.619
2022-01-17,0.04,19.1,,88.1,1038.6,3.0,-0.4,7.9,3.0,1.328
2022-01-18,0.151,76.5,24.0,93.8,1036.3,1.0,0.3,7.9,2.1,0.962
2022-01-19,0.102,71.0,30.1,87.4,1029.7,3.0,2.4,9.6,2.6,1.059
2022-01-20,0.098,36.3,27.6,82.0,1037.7,2.0,-1.4,5.8,2.4,1.25
2022-01-21,0.0,52.6,40.9,82.7,1041.0,3.0,-3.5,4.3,3.6,1.325
2022-01-22,0.0,97.6,21.7,83.4,1038.7,1.0,2.6,5.0,1.8,1.002
2022-01-23,0.0,100.0,19.3,86.3,1034.9,1.0,2.2,4.1,1.5,0.944
2022-01-24,0.0,100.0,9.2,89.0,1032.5,0.0,3.5,4.3,0.7,0.7949999999999999
2022-01-25,0.0,99.9,16.2,90.1,1034.4,1.0,2.5,3.6,1.5,0.687
2022-01-26,0.0,87.9,32.6,86.7,1034.0,2.0,0.8,7.7,3.0,1.321
2022-01-27,0.605,64.0,23.6,91.7,1030.8,1.0,2.0,10.4,2.1,0.612
2022-01-28,0.191,61.8,40.8,95.9,1035.6,2.0,0.6,9.1,3.5,0.401
2022-01-29,1.226,77.8,31.0,93.5,1031.9,1.0,3.5,10.2,2.6,0.7
2022-01-30,0.124,38.8,53.9,88.9,1031.4,3.0,0.4,8.0,4.7,1.313
2022-01-31,0.773,73.0,35.6,79.0,1027.6,2.0,5.5,7.3,3.1,1.491
